poem_id	stanza_id	line_id	total_lines_in_stanza	total_stanzas_in_poem	id_stanza_in_poem	id_line_in_stanza	author	pub_year	period	title	line_text	emotion1anno1	emotion2anno1	emotion1anno2	emotion2anno2	measure	i_measure	s_measure	foot_meter	meter	feet	caesura_rhythm	main_accents	caesuras	rhyme_schema	enjambement	cadence	foot_inversion	chol_iambic	relaxed_syllables
1	1	1	4	4	1	1	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Ich muß hinaus, ich muß zu dir,	Vitality	NONE	Vitality	NONE	iambic.tetra	iambic.tetra	iambic	-+|-+|-+|-+|	-+-+-+-+	.:.:.:.:	0102:0102:	01020102	...:...:	abab	4	male	False	False	False
1	1	2	4	4	1	2	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Ich muß es selbst dir sagen:	Vitality	NONE	Vitality	NONE	iambic.tri	iambic.tri	iambic	-+|-+|-+|-	-+-+-+-	.:.:.:.	0102020:	0102020	......:	abab	5	female	False	False	False
1	1	3	4	4	1	3	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Du bist mein Frühling, du nur mir	Vitality	NONE	Vitality	NONE	iambic.tetra	iambic.tetra	iambic	-+|-+|-+|-+|	-+-+-+-+	.:.:.:.:	00020:200:	00020200	....:..:	abab	3	male	False	False	False
1	1	4	4	4	1	4	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	In diesen lichten Tagen.	Vitality	NONE	Vitality	NONE	iambic.tri	iambic.tri	iambic	-+|-+|-+|-	-+-+-+-	.:.:.:.	0001020:	0001020	......:	abab	5	female	False	False	False
1	2	5	4	4	2	1	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Ich will die Rosen nicht mehr sehn,	Vitality	Sadness	Vitality	NONE	iambic.tetra	iambic.tetra	iambic	-+|-+|-+|-+|	-+-+-+-+	.:.:.:.:	01020002:	01020002	.......:	abab	3	male	False	False	False
1	2	6	4	4	2	2	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Nicht mehr die grünen Matten;	Vitality	Sadness	Vitality	NONE	iambic.tri	iambic.tri	iambic	-+|-+|-+|-	-+-+-+-	.:.:.:.	0001020:	0001020	......:	abab	5	female	False	False	False
1	2	7	4	4	2	3	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Ich will nicht mehr zu Walde gehn	Vitality	Sadness	Vitality	NONE	iambic.tetra	iambic.tetra	iambic	-+|-+|-+|-+|	-+-+-+-+	.:.:.:.:	02000102:	02000102	.......:	abab	3	male	False	False	False
1	2	8	4	4	2	4	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Nach Duft und Klang und Schatten.	Vitality	Sadness	Vitality	NONE	iambic.tri	iambic.tri	iambic	-+|-+|-+|-	-+-+-+-	.:.:.:.	0202020:	0202020	......:	abab	5	female	False	False	False
1	3	9	4	4	3	1	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Ich will nicht mehr der Lüfte Zug,	Vitality	Sadness	Vitality	NONE	iambic.tetra	iambic.tetra	iambic	-+|-+|-+|-+|	-+-+-+-+	.:.:.:.:	02000102:	02000102	.......:	abab	3	male	False	False	False
1	3	10	4	4	3	2	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Nicht mehr der Wellen Rauschen,	Vitality	Sadness	Vitality	NONE	iambic.tri	iambic.tri	iambic	-+|-+|-+|-	-+-+-+-	.:.:.:.	0001020:	0001020	......:	abab	5	female	False	False	False
1	3	11	4	4	3	3	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Ich will nicht mehr der Vögel Flug	Vitality	Sadness	Vitality	NONE	iambic.tetra	iambic.tetra	iambic	-+|-+|-+|-+|	-+-+-+-+	.:.:.:.:	02000102:	02000102	.......:	abab	2_NP.KO	male	False	False	False
1	3	12	4	4	3	4	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Und ihrem Liede lauschen -	Vitality	Sadness	Vitality	NONE	iambic.tri	iambic.tri	iambic	-+|-+|-+|-	-+-+-+-	.:.:.:.	0002010:	0002010	......:	abab	5	female	False	False	False
1	4	13	4	4	4	1	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Ich will hinaus, ich will zu dir,	Vitality	NONE	Vitality	NONE	iambic.tetra	iambic.tetra	iambic	-+|-+|-+|-+|	-+-+-+-+	.:.:.:.:	0102:0102:	01020102	...:...:	abab	5	male	False	False	False
1	4	14	4	4	4	2	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Ich will es selbst dir sagen:	Vitality	NONE	Vitality	NONE	iambic.tri	iambic.tri	iambic	-+|-+|-+|-	-+-+-+-	.:.:.:.	0102020:	0102020	......:	abab	5	female	False	False	False
1	4	15	4	4	4	3	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Du bist mein Frühling, du nur mir	Vitality	NONE	Vitality	NONE	iambic.tetra	iambic.tetra	iambic	-+|-+|-+|-+|	-+-+-+-+	.:.:.:.:	00020:200:	00020200	....:..:	abab	3	male	False	False	False
1	4	16	4	4	4	4	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	In diesen lichten Tagen!	Vitality	NONE	Vitality	NONE	iambic.tri	iambic.tri	iambic	-+|-+|-+|-	-+-+-+-	.:.:.:.	0001020:	0001020	......:	abab	5	female	False	False	False
2	5	17	4	8	1	1	Goethe, Johann Wolfgang von	1778	Sturm und DrangGeniezeit	Erlkönig / Wer reitet so spät durch Nacht und Wind?	Wer reitet so spät durch Nacht und Wind?	Suspense	NONE	Suspense	NONE	iambic.tetra.relaxed	iambic.tetra	iambic	-+|--+|-+|-+|	-+--+-+-+	.:..:.:.:	020010202:	020010202	........:	aabb	5	male	False	False	True
2	5	18	4	8	1	2	Goethe, Johann Wolfgang von	1778	Sturm und DrangGeniezeit	Erlkönig / Wer reitet so spät durch Nacht und Wind?	Es ist der Vater mit seinem Kind;	Beauty/Joy	NONE	Beauty/Joy	NONE	iambic.tetra.relaxed	iambic.tetra	iambic	-+|-+|--+|-+|	-+-+--+-+	.:.:..:.:	00020:0002:	000200002	....:...:	aabb	5	male	False	False	True
2	5	19	4	8	1	3	Goethe, Johann Wolfgang von	1778	Sturm und DrangGeniezeit	Erlkönig / Wer reitet so spät durch Nacht und Wind?	Er hat den Knaben wohl in dem Arm,	Beauty/Joy	NONE	Beauty/Joy	NONE	iambic.tetra.chol	iambic.tetra	iambic	-+|-+|-+|--+|	-+-+-+--+	.:.:.:..:	000201002:	000201002	........:	aabb	5	male	False	True	False
2	5	20	4	8	1	4	Goethe, Johann Wolfgang von	1778	Sturm und DrangGeniezeit	Erlkönig / Wer reitet so spät durch Nacht und Wind?	Er faßt ihn sicher, er hält ihn warm.	Beauty/Joy	NONE	Beauty/Joy	NONE	iambic.tetra.relaxed	iambic.tetra	iambic	-+|-+|--+|-+|	-+-+--+-+	.:.:..:.:	01020:0102	010200102	....:....	aabb	5	male	False	False	True
2	6	21	4	8	2	1	Goethe, Johann Wolfgang von	1778	Sturm und DrangGeniezeit	Erlkönig / Wer reitet so spät durch Nacht und Wind?	Mein Sohn, was birgst du so bang dein Gesicht? -	Uneasiness	NONE	Uneasiness	NONE	iambic.tetra.relaxed	iambic.tetra	iambic	-+|-+|--+|--+|	-+-+--+--+	.:.:..:..:	02:01002002:	0201002002	.:.......:	aabb	5	male	False	False	True
2	6	22	4	8	2	2	Goethe, Johann Wolfgang von	1778	Sturm und DrangGeniezeit	Erlkönig / Wer reitet so spät durch Nacht und Wind?	Siehst Vater, du den Erlkönig nicht?	Uneasiness	NONE	Uneasiness	NONE	iambic.tetra.chol	iambic.tetra	iambic	-+|-+|-+|--+|	-+-+-+--+	.:.:.:..:	210:002001:	210002001	..:.....:	aabb	5	male	False	True	False
